lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
57,-61,-469.3077,80.1839,-5.8529,-1,-469.3077,3,0.007939085
49,-59,-104.8928,53.6156,-1.9564,0,0,5,0.011872402
53,-59,69.7567,34.2789,2.035,1,69.7567,11,0.018566502
49,-57,-50.143,94.8936,-0.5284,0,0,3,0.006708526
51,-57,82.7213,54.86,1.5079,0,0,4,0.011603159
53,-57,-142.7826,31.818,-4.4875,-1,-142.7826,11,0.02000158
55,-57,153.6933,70.3922,2.1834,1,153.6933,3,0.009043288
49,-55,36.9458,50.5595,0.7307,0,0,6,0.012589855
51,-55,32.5033,70.4241,0.4615,0,0,3,0.009039192
47,-53,-72.2592,36.3432,-1.9882,0,0,12,0.01751247
67,-51,139,148.385,0.9368,0,0,1,0.004290259
59,-45,-134.5415,109.0705,-1.2335,0,0,2,0.00583661
61,-45,55.1,1531.8877,0.036,0,0,1,0.000415579
65,-37,216,52.6531,4.1023,1,216,1,0.012089378
71,-27,-9.7,268.7245,-0.0361,0,0,1,0.002369032
71,-25,-103.9315,100.6216,-1.0329,0,0,2,0.006326662
71,-23,-169.5965,76.3352,-2.2217,-1,-169.5965,2,0.008339316
65,-21,67.1533,130.0045,0.5165,0,0,4,0.004896809
65,-19,-1.6305,122.3054,-0.0133,0,0,2,0.005205049
15,-17,346.6,38.1284,9.0903,1,346.6,7,0.016692908
21,-17,310.0667,32.5485,9.5263,1,310.0667,3,0.019552962
17,-15,576.25,24.0004,24.01,1,576.25,4,0.026510048
29,-11,260.4333,18.988,13.7157,1,260.4333,3,0.033496533
53,-11,179.012,148.385,1.2064,0,0,1,0.004290259
53,-9,131.7672,100.2992,1.3137,0,0,4,0.006346997
31,-7,-188.5,17.7699,-10.6078,-1,-188.5,2,0.035787991
43,-7,-0.1502,62.9673,-0.0024,0,0,6,0.010109474
53,-7,-7.081,75.9538,-0.0932,0,0,7,0.008381187
55,-7,30.0967,106.1965,0.2834,0,0,6,0.005994557
59,-7,-73.4105,126.3168,-0.5812,0,0,2,0.005039761
63,-7,-77.5888,112.1421,-0.6919,0,0,5,0.005676752
23,-5,475.5,19.0773,24.9249,1,475.5,2,0.033340025
43,-5,100.7367,126.6671,0.7953,0,0,3,0.005025824
45,-5,97.804,101.8539,0.9602,0,0,2,0.006250122
51,-5,36.0477,146.1438,0.2467,0,0,3,0.004356051
53,-5,110.676,177.3026,0.6242,0,0,2,0.003590545
55,-5,1.323,150.9659,0.0088,0,0,4,0.004216916
57,-5,101.7335,135.1666,0.7527,0,0,4,0.004709804
59,-5,-20.801,196.2722,-0.106,0,0,2,0.003243527
23,-3,361.6667,24.3157,14.8738,1,361.6667,3,0.026166684
31,-3,113.1667,19.6547,5.7577,1,113.1667,3,0.0323623
37,-3,65.2485,82.9478,0.7866,0,0,2,0.007674573
43,-3,-29.712,90.0642,-0.3299,0,0,4,0.00706822
47,-3,14.9615,135.9354,0.1101,0,0,2,0.004683168
49,-3,80.4825,207.3742,0.3881,0,0,2,0.003069884
51,-3,3.0515,103.0838,0.0296,0,0,4,0.006175556
53,-3,-8.9882,71.1522,-0.1263,0,0,6,0.008946707
55,-3,35.5404,80.0661,0.4439,0,0,8,0.007950764
57,-3,-26.8125,118.7882,-0.2257,0,0,4,0.005359158
59,-3,41.6145,68.3801,0.6086,0,0,4,0.009309352
7,-1,509.8,66.305,7.6887,1,509.8,3,0.009600656
39,-1,23.932,82.7265,0.2893,0,0,2,0.007695101
43,-1,67.7274,68.4418,0.9896,0,0,5,0.00930096
47,-1,36.266,64.2013,0.5649,0,0,6,0.009915193
49,-1,69.767,137.3063,0.5081,0,0,2,0.004636412
53,-1,27.6747,101.9297,0.2715,0,0,4,0.006245475
55,-1,27.2915,99.3901,0.2746,0,0,2,0.006405047
61,-1,-22.384,155.1629,-0.1443,0,0,2,0.004102856
15,1,193.5,25.3904,7.621,1,193.5,2,0.025060295
41,1,25.648,84.1435,0.3048,0,0,2,0.007565526
43,1,5.8482,79.0645,0.074,0,0,4,0.008051475
45,1,89.016,94.8111,0.9389,0,0,2,0.006714363
49,1,27.837,77.8507,0.3576,0,0,4,0.008176995
51,1,41.0677,63.3673,0.6481,0,0,6,0.010045669
53,1,-11.8465,97.944,-0.121,0,0,2,0.006499608
43,3,51.6523,90.3096,0.5719,0,0,4,0.007049015
45,3,167.6268,123.8726,1.3532,0,0,7,0.005139199
49,3,35.11,96.8156,0.3626,0,0,3,0.006575357
37,5,327.6,216.9643,1.5099,0,0,1,0.002934194
43,5,159.9682,70.9227,2.2555,1,159.9682,4,0.008975654
45,5,83.5388,77.2938,1.0808,0,0,9,0.008235903
47,5,185.25,153.4957,1.2069,0,0,2,0.004147418
49,5,82.0192,95.1158,0.8623,0,0,4,0.006692856
51,5,31.7917,61.3402,0.5183,0,0,8,0.010377589
53,5,65.9933,75.4296,0.8749,0,0,4,0.008439425
