lat, lon, gdd5_anm_mean, gdd5_se_mean, gdd5_tstat,gdd5_sig, gdd5_sig_val,gdd5_npts
   57.000000,   -63.000000,        95.8930,        20.8741,         4.5939,         1.0000,        95.8930,     2
   59.000000,   -63.000000,       208.5420,        32.1557,         6.4854,         1.0000,       208.5420,     1
   47.000000,   -61.000000,       221.7850,        54.4851,         4.0706,         1.0000,       221.7850,     1
   53.000000,   -61.000000,      -277.5290,        54.7183,        -5.0720,        -1.0000,      -277.5290,     1
   55.000000,   -61.000000,        19.7710,        25.8448,         0.7650,         0.0000,         0.0000,     1
   57.000000,   -61.000000,        51.7430,        28.5991,         1.8093,         0.0000,         0.0000,     1
   49.000000,   -59.000000,       407.7215,        61.1437,         6.6683,         1.0000,       407.7215,     2
   53.000000,   -59.000000,       199.2763,        23.9459,         8.3219,         1.0000,       199.2763,     3
   49.000000,   -57.000000,       402.0860,       149.8663,         2.6830,         1.0000,       402.0860,     1
   51.000000,   -57.000000,       189.5430,        52.8598,         3.5858,         1.0000,       189.5430,     1
   53.000000,   -57.000000,       -71.1145,        40.3814,        -1.7611,         0.0000,         0.0000,     2
   49.000000,   -55.000000,        58.1000,        42.5447,         1.3656,         0.0000,         0.0000,     2
   47.000000,   -53.000000,        27.1670,        42.3924,         0.6408,         0.0000,         0.0000,     3
   59.000000,   -45.000000,       -49.3665,       129.9214,        -0.3800,         0.0000,         0.0000,     2
   61.000000,   -45.000000,       584.4000,       104.0561,         5.6162,         1.0000,       584.4000,     1
   65.000000,   -37.000000,      -278.2000,         0.7398,      -376.0476,        -1.0000,      -278.2000,     1
   71.000000,   -27.000000,        10.7000,        10.4082,         1.0280,         0.0000,         0.0000,     1
   71.000000,   -25.000000,        63.5910,       129.9630,         0.4893,         0.0000,         0.0000,     2
   71.000000,   -23.000000,        53.4415,       130.1187,         0.4107,         0.0000,         0.0000,     2
   65.000000,   -21.000000,        21.8858,       104.2257,         0.2100,         0.0000,         0.0000,     4
   65.000000,   -19.000000,      -322.8440,       129.9634,        -2.4841,        -1.0000,      -322.8440,     2
   15.000000,   -17.000000,       -60.3000,       514.2347,        -0.1173,         0.0000,         0.0000,     1
   21.000000,   -17.000000,     -1636.7000,         0.0000,         0.0000,         0.0000,         0.0000,     1
   29.000000,   -11.000000,       692.8000,       518.1633,         1.3370,         0.0000,         0.0000,     1
   53.000000,   -11.000000,        17.6720,       259.8421,         0.0680,         0.0000,         0.0000,     1
   53.000000,    -9.000000,       253.7415,       150.9362,         1.6811,         0.0000,         0.0000,     4
   43.000000,    -7.000000,       102.1995,       121.3588,         0.8421,         0.0000,         0.0000,     6
   53.000000,    -7.000000,       340.0869,       119.0435,         2.8568,         1.0000,       340.0869,     7
   55.000000,    -7.000000,       545.5743,       147.2756,         3.7044,         1.0000,       545.5743,     6
   59.000000,    -7.000000,       -91.8835,       149.0551,        -0.6164,         0.0000,         0.0000,     2
   63.000000,    -7.000000,       192.9106,        96.9613,         1.9896,         0.0000,         0.0000,     5
   43.000000,    -5.000000,       828.9140,       168.5202,         4.9188,         1.0000,       828.9140,     3
   45.000000,    -5.000000,      -638.6265,       244.9259,        -2.6074,        -1.0000,      -638.6265,     2
   51.000000,    -5.000000,       340.6250,       179.4789,         1.8979,         0.0000,         0.0000,     3
   53.000000,    -5.000000,       630.3640,       217.2083,         2.9021,         1.0000,       630.3640,     2
   55.000000,    -5.000000,       686.6958,       134.0261,         5.1236,         1.0000,       686.6958,     4
   57.000000,    -5.000000,       630.3777,       160.6033,         3.9251,         1.0000,       630.3777,     4
   59.000000,    -5.000000,       581.4780,       185.3229,         3.1376,         1.0000,       581.4780,     2
   23.000000,    -3.000000,      -499.0000,       209.2857,        -2.3843,        -1.0000,      -499.0000,     1
   31.000000,    -3.000000,       879.0000,       679.1326,         1.2943,         0.0000,         0.0000,     1
   37.000000,    -3.000000,     -1463.5890,       155.5782,        -9.4074,        -1.0000,     -1463.5890,     2
   43.000000,    -3.000000,       308.0690,       152.9961,         2.0136,         1.0000,       308.0690,     4
   47.000000,    -3.000000,       -45.1185,       259.4076,        -0.1739,         0.0000,         0.0000,     2
   49.000000,    -3.000000,       291.4395,       307.2051,         0.9487,         0.0000,         0.0000,     2
   51.000000,    -3.000000,       436.9052,       136.0397,         3.2116,         1.0000,       436.9052,     4
   53.000000,    -3.000000,       603.7977,       137.5873,         4.3885,         1.0000,       603.7977,     6
   55.000000,    -3.000000,       665.5834,       120.1293,         5.5406,         1.0000,       665.5834,     8
   57.000000,    -3.000000,       618.2350,       160.9101,         3.8421,         1.0000,       618.2350,     4
   59.000000,    -3.000000,       575.1672,       157.3017,         3.6565,         1.0000,       575.1672,     4
    7.000000,    -1.000000,       -95.1000,       843.3419,        -0.1128,         0.0000,         0.0000,     1
   39.000000,    -1.000000,     -1200.7695,       263.4476,        -4.5579,        -1.0000,     -1200.7695,     2
   43.000000,    -1.000000,      -329.9156,       148.3361,        -2.2241,        -1.0000,      -329.9156,     5
   47.000000,    -1.000000,        58.0443,       115.8636,         0.5010,         0.0000,         0.0000,     6
   49.000000,    -1.000000,        23.6825,       207.0277,         0.1144,         0.0000,         0.0000,     2
   53.000000,    -1.000000,       485.2365,       176.9501,         2.7422,         1.0000,       485.2365,     4
   55.000000,    -1.000000,       639.0340,       201.1656,         3.1767,         1.0000,       639.0340,     2
   61.000000,    -1.000000,      -306.5745,       140.8358,        -2.1768,        -1.0000,      -306.5745,     2
   41.000000,     1.000000,     -1242.3101,       289.9919,        -4.2839,        -1.0000,     -1242.3101,     2
   43.000000,     1.000000,       421.2860,       160.7669,         2.6205,         1.0000,       421.2860,     4
   45.000000,     1.000000,      -294.3840,       249.8210,        -1.1784,         0.0000,         0.0000,     2
   49.000000,     1.000000,        73.3627,       180.2374,         0.4070,         0.0000,         0.0000,     4
   51.000000,     1.000000,       265.9268,       152.0392,         1.7491,         0.0000,         0.0000,     6
   53.000000,     1.000000,       554.1975,       195.0330,         2.8416,         1.0000,       554.1975,     2
   43.000000,     3.000000,       583.1490,       155.5038,         3.7501,         1.0000,       583.1490,     4
   45.000000,     3.000000,       910.9401,       120.2838,         7.5733,         1.0000,       910.9401,     7
   49.000000,     3.000000,       347.0593,       203.5821,         1.7048,         0.0000,         0.0000,     3
   37.000000,     5.000000,      1815.7000,       570.6888,         3.1816,         1.0000,      1815.7000,     1
   43.000000,     5.000000,      -703.1988,       191.0481,        -3.6807,        -1.0000,      -703.1988,     4
   45.000000,     5.000000,       343.9107,       119.1526,         2.8863,         1.0000,       343.9107,     9
   47.000000,     5.000000,      1177.1500,       240.2605,         4.8995,         1.0000,      1177.1500,     2
   49.000000,     5.000000,       300.4727,       173.2243,         1.7346,         0.0000,         0.0000,     4
   51.000000,     5.000000,       252.8394,       125.7605,         2.0105,         1.0000,       252.8394,     8
   53.000000,     5.000000,       246.2502,       176.0980,         1.3984,         0.0000,         0.0000,     4
   59.000000,     5.000000,       823.3400,       163.5769,         5.0334,         1.0000,       823.3400,     2
   61.000000,     5.000000,       780.6032,       150.8913,         5.1733,         1.0000,       780.6032,     4
   45.000000,     7.000000,       439.8917,        73.9707,         5.9468,         1.0000,       439.8917,    14
   47.000000,     7.000000,       611.9233,        93.8644,         6.5192,         1.0000,       611.9233,    10
   49.000000,     7.000000,       831.0505,       238.0665,         3.4908,         1.0000,       831.0505,     2
   51.000000,     7.000000,       796.8000,       441.0969,         1.8064,         0.0000,         0.0000,     1
   53.000000,     7.000000,       278.6823,       199.7562,         1.3951,         0.0000,         0.0000,     4
   59.000000,     7.000000,       341.0180,       259.8421,         1.3124,         0.0000,         0.0000,     1
   63.000000,     7.000000,       295.9030,       132.7418,         2.2292,         1.0000,       295.9030,     2
    5.000000,     9.000000,        99.9000,       796.7092,         0.1254,         0.0000,         0.0000,     1
   43.000000,     9.000000,       282.5660,       258.7014,         1.0922,         0.0000,         0.0000,     2
   45.000000,     9.000000,      -149.3865,       173.0605,        -0.8632,         0.0000,         0.0000,     4
   47.000000,     9.000000,       740.0684,        81.7166,         9.0565,         1.0000,       740.0684,    15
   49.000000,     9.000000,       482.5515,       207.0774,         2.3303,         1.0000,       482.5515,     2
   51.000000,     9.000000,      -199.8000,        32.7041,        -6.1093,        -1.0000,      -199.8000,     1
   53.000000,     9.000000,       273.4217,       180.9257,         1.5112,         0.0000,         0.0000,     4
   55.000000,     9.000000,       551.0285,       170.4391,         3.2330,         1.0000,       551.0285,     4
   57.000000,     9.000000,       332.5560,       174.9810,         1.9005,         0.0000,         0.0000,     3
   59.000000,     9.000000,       642.0180,       228.9424,         2.8043,         1.0000,       642.0180,     2
   61.000000,     9.000000,       736.9708,       102.7351,         7.1735,         1.0000,       736.9708,     4
   63.000000,     9.000000,       465.5200,       259.8421,         1.7915,         0.0000,         0.0000,     1
   -5.000000,    11.000000,     -1689.9000,         0.0000,         0.0000,         0.0000,         0.0000,     1
    3.000000,    11.000000,      -216.3000,       742.1174,        -0.2915,         0.0000,         0.0000,     1
   13.000000,    11.000000,       -25.1333,       326.6450,        -0.0769,         0.0000,         0.0000,     3
   25.000000,    11.000000,      1953.8500,       300.5253,         6.5014,         1.0000,      1953.8500,     2
   45.000000,    11.000000,       207.0035,       232.7378,         0.8894,         0.0000,         0.0000,     2
   47.000000,    11.000000,       442.8635,       136.5851,         3.2424,         1.0000,       442.8635,     2
   49.000000,    11.000000,       429.0240,       238.5156,         1.7987,         0.0000,         0.0000,     2
   51.000000,    11.000000,       415.6220,       135.6752,         3.0634,         1.0000,       415.6220,     6
   53.000000,    11.000000,       380.9040,       152.0028,         2.5059,         1.0000,       380.9040,     6
   55.000000,    11.000000,       482.9187,       157.5504,         3.0652,         1.0000,       482.9187,     4
   59.000000,    11.000000,       603.9078,       110.8601,         5.4475,         1.0000,       603.9078,     6
   63.000000,    11.000000,       512.9797,       125.3671,         4.0918,         1.0000,       512.9797,     3
   65.000000,    11.000000,       408.6060,       123.6763,         3.3038,         1.0000,       408.6060,     3
   -5.000000,    13.000000,     -1099.8000,       551.6326,        -1.9937,         0.0000,         0.0000,     1
   13.000000,    13.000000,       766.0000,       659.1581,         1.1621,         0.0000,         0.0000,     1
   19.000000,    13.000000,       776.7000,       212.7226,         3.6512,         1.0000,       776.7000,     3
   43.000000,    13.000000,       -76.6426,       194.5479,        -0.3940,         0.0000,         0.0000,     5
   45.000000,    13.000000,      -192.5085,       243.1012,        -0.7919,         0.0000,         0.0000,     2
   47.000000,    13.000000,       345.9887,       100.2266,         3.4521,         1.0000,       345.9887,     7
   49.000000,    13.000000,       143.3865,       178.6533,         0.8026,         0.0000,         0.0000,     2
   55.000000,    13.000000,       468.0404,       122.3259,         3.8262,         1.0000,       468.0404,     5
   57.000000,    13.000000,       815.1434,       164.4191,         4.9577,         1.0000,       815.1434,     3
   59.000000,    13.000000,       757.5344,       143.3383,         5.2849,         1.0000,       757.5344,     5
   61.000000,    13.000000,       759.5835,       213.2931,         3.5612,         1.0000,       759.5835,     2
