lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   43.000000,   -77.000000,        -1.0137,         1.3141,        -0.7714,         0.0000,         0.0000,     3
   45.000000,   -77.000000,         1.4057,         0.3866,         3.6358,         1.0000,         1.4057,    29
   47.000000,   -77.000000,         1.0633,         1.3165,         0.8077,         0.0000,         0.0000,     3
   53.000000,   -77.000000,         4.0067,         1.0883,         3.6816,         1.0000,         4.0067,     4
   55.000000,   -77.000000,        -1.5236,         0.5648,        -2.6978,        -1.0000,        -1.5236,    12
   57.000000,   -77.000000,         1.5167,         1.2953,         1.1709,         0.0000,         0.0000,     3
   41.000000,   -75.000000,         0.1356,         0.4095,         0.3312,         0.0000,         0.0000,    29
   43.000000,   -75.000000,         0.3080,         0.9284,         0.3317,         0.0000,         0.0000,     6
   45.000000,   -75.000000,         2.0613,         0.4725,         4.3627,         1.0000,         2.0613,    15
   47.000000,   -75.000000,         1.1853,         0.7163,         1.6548,         0.0000,         0.0000,     8
   49.000000,   -75.000000,         2.6670,         1.3790,         1.9341,         0.0000,         0.0000,     3
   57.000000,   -75.000000,        -0.5668,         0.7555,        -0.7503,         0.0000,         0.0000,     9
   59.000000,   -75.000000,        -0.6667,       999.9002,        -0.0007,         0.0000,         0.0000,    10
   41.000000,   -73.000000,         0.2051,         0.7217,         0.2842,         0.0000,         0.0000,     8
   43.000000,   -73.000000,         0.6539,         0.5070,         1.2898,         0.0000,         0.0000,    20
   45.000000,   -73.000000,         0.7903,         0.3235,         2.4426,         1.0000,         0.7903,    42
   47.000000,   -73.000000,         2.8943,         0.4344,         6.6633,         1.0000,         2.8943,    22
   49.000000,   -73.000000,         1.9023,         0.9991,         1.9039,         0.0000,         0.0000,     4
   59.000000,   -73.000000,         0.4237,         1.2958,         0.3269,         0.0000,         0.0000,     3
   41.000000,   -71.000000,        -0.7344,         0.5262,        -1.3958,         0.0000,         0.0000,    18
   43.000000,   -71.000000,        -0.4709,         0.8995,        -0.5235,         0.0000,         0.0000,     7
   45.000000,   -71.000000,         0.7846,         0.3532,         2.2216,         1.0000,         0.7846,    34
   47.000000,   -71.000000,         0.2364,         0.3018,         0.7832,         0.0000,         0.0000,    49
   49.000000,   -71.000000,         0.4292,         0.8097,         0.5300,         0.0000,         0.0000,     5
   55.000000,   -71.000000,        -1.6380,         1.3130,        -1.2475,         0.0000,         0.0000,     3
   57.000000,   -71.000000,        -7.8000,         2.7472,        -2.8393,        -1.0000,        -7.8000,     1
   59.000000,   -71.000000,         2.8000,         2.7472,         1.0192,         0.0000,         0.0000,     1
   41.000000,   -69.000000,        -1.5057,         1.0995,        -1.3694,         0.0000,         0.0000,     3
   43.000000,   -69.000000,        -1.9720,         0.8069,        -2.4438,        -1.0000,        -1.9720,     7
   45.000000,   -69.000000,        -1.3224,         0.6074,        -2.1770,        -1.0000,        -1.3224,    13
   47.000000,   -69.000000,         0.5391,         0.6290,         0.8571,         0.0000,         0.0000,    11
   55.000000,   -69.000000,         0.5839,         0.7679,         0.7604,         0.0000,         0.0000,     9
   61.000000,   -69.000000,        -2.9733,         0.8182,        -3.6341,        -1.0000,        -2.9733,     7
   71.000000,   -69.000000,         3.6883,         1.6280,         2.2655,         1.0000,         3.6883,     4
