lat, lon, alpha_anm_mean, alpha_se_mean, alpha_tstat,alpha_sig, alpha_sig_val,alpha_npts
   51.000000,   101.000000,        -0.0085,         0.0320,        -0.2660,         0.0000,         0.0000,     2
   27.000000,   103.000000,         0.2310,         0.0204,        11.3235,         1.0000,         0.2310,     1
   33.000000,   103.000000,         0.0150,         0.0364,         0.4121,         0.0000,         0.0000,     2
   49.000000,   103.000000,         0.0570,         0.0275,         2.0735,         1.0000,         0.0570,     4
   61.000000,   103.000000,         0.0150,         0.0236,         0.6354,         0.0000,         0.0000,     2
   35.000000,   105.000000,         0.0255,         0.0258,         0.9865,         0.0000,         0.0000,     2
   35.000000,   107.000000,         0.1190,         0.0380,         3.1316,         1.0000,         0.1190,     1
   39.000000,   107.000000,         0.0370,         0.0332,         1.1145,         0.0000,         0.0000,     1
   51.000000,   107.000000,         0.0470,         0.0368,         1.2764,         0.0000,         0.0000,     4
   25.000000,   109.000000,        -0.0030,         0.0668,        -0.0449,         0.0000,         0.0000,     1
   35.000000,   109.000000,        -0.0858,         0.0135,        -6.3447,        -1.0000,        -0.0858,     6
   37.000000,   109.000000,         0.2405,         0.0298,         8.0835,         1.0000,         0.2405,     2
   39.000000,   109.000000,         0.0350,         0.0704,         0.4972,         0.0000,         0.0000,     1
   53.000000,   109.000000,         0.1193,         0.0213,         5.5907,         1.0000,         0.1193,     4
   21.000000,   111.000000,         0.0090,         0.0144,         0.6270,         0.0000,         0.0000,     2
   25.000000,   111.000000,         0.1300,         0.0362,         3.5912,         1.0000,         0.1300,     1
   31.000000,   111.000000,         0.1300,         0.0582,         2.2337,         1.0000,         0.1300,     1
   41.000000,   111.000000,         0.2580,         0.0120,        21.5000,         1.0000,         0.2580,     1
   53.000000,   111.000000,        -0.0120,         0.0449,        -0.2672,         0.0000,         0.0000,     2
   55.000000,   111.000000,        -0.0225,         0.0295,        -0.7618,         0.0000,         0.0000,     2
